id,qname,heading,text,type,diagram,website,updated
,AreaByRectangle,AreaByRectangle,"An area geometry encoded as a rectangle, defined by a lower-left corner and an upper-right corner.",Class,https://w3id.org/itsdata/location/v1/diagrams/AreaByRectangle.dot.svg,https://w3id.org/itsdata/location/v1/AreaByRectangle,2026-07-27T19:23:30.000114
,ElevationReferenceCode,ElevationReferenceCode,"A code that identifies the reference system for an elevation value  (e.g., 'ellipsoidal', 'gravityRelated', 'ground level', 'EPSG:5701', 'coded height').",Class,https://w3id.org/itsdata/location/v1/diagrams/ElevationReferenceCode.dot.svg,https://w3id.org/itsdata/location/v1/ElevationReferenceCode,2026-07-27T19:23:30.000114
,LinearFeature,LinearFeature,A spatial feature that extends along a defined path (typically between two point features or along a network element).,Class,https://w3id.org/itsdata/location/v1/diagrams/LinearFeature.dot.svg,https://w3id.org/itsdata/location/v1/LinearFeature,2026-07-27T19:23:30.000114
,AreaByLinearBoundaries,AreaByLinearBoundaries,An area geometry encoded as a set of linear boundary geometries.,Class,https://w3id.org/itsdata/location/v1/diagrams/AreaByLinearBoundaries.dot.svg,https://w3id.org/itsdata/location/v1/AreaByLinearBoundaries,2026-07-27T19:23:30.000114
,AreaByCircle,AreaByCircle,An area geometry encoded as a circle.,Class,https://w3id.org/itsdata/location/v1/diagrams/AreaByCircle.dot.svg,https://w3id.org/itsdata/location/v1/AreaByCircle,2026-07-27T19:23:30.000114
,AreaByPolygon,AreaByPolygon,An area geometry encoded as a Polygon geometry.,Class,https://w3id.org/itsdata/location/v1/diagrams/AreaByPolygon.dot.svg,https://w3id.org/itsdata/location/v1/AreaByPolygon,2026-07-27T19:23:30.000114
,PointGeometryList,PointGeometryList,An ordered list of member point geometries.,Class,https://w3id.org/itsdata/location/v1/diagrams/PointGeometryList.dot.svg,https://w3id.org/itsdata/location/v1/PointGeometryList,2026-07-27T19:23:30.000114
,PointFeature,PointFeature,A spatial feature with no length in any of the spatial dimensions (a point phenomenon in space).,Class,https://w3id.org/itsdata/location/v1/diagrams/PointFeature.dot.svg,https://w3id.org/itsdata/location/v1/PointFeature,2026-07-27T19:23:30.000114
,AreaGeometry,AreaGeometry,A geometry that encodes an area location using a specific method.,Class,https://w3id.org/itsdata/location/v1/diagrams/AreaGeometry.dot.svg,https://w3id.org/itsdata/location/v1/AreaGeometry,2026-07-27T19:23:30.000114
,PointByCoordinates,PointByCoordinates,A coordinate tuple defining the geodetic position of a single point location using a known geodetic reference system,Class,https://w3id.org/itsdata/location/v1/diagrams/PointByCoordinates.dot.svg,https://w3id.org/itsdata/location/v1/PointByCoordinates,2026-07-27T19:23:30.000114
,LinearByCode,LinearByCode,A linear geometry whose extent is not modelled here but can be resolved using :hasLookupCode and an external location referencing system.,Class,https://w3id.org/itsdata/location/v1/diagrams/LinearByCode.dot.svg,https://w3id.org/itsdata/location/v1/LinearByCode,2026-07-27T19:23:30.000114
,LinearByMultiLineString,LinearByMultiLineString,A linear geometry encoded as a MultiLineString geometry.,Class,https://w3id.org/itsdata/location/v1/diagrams/LinearByMultiLineString.dot.svg,https://w3id.org/itsdata/location/v1/LinearByMultiLineString,2026-07-27T19:23:30.000114
